test,whereX,whereY,datetime,type,typeof,payload
11,1,10,2026-01-13T02:01:31,event,option_displayed,"{""dialog_id"":0}"
11,1,10,2026-01-13T02:01:34,action,option_selected,"{""dialog_id"":0,""narrative_alignment_tag"":""good"",""option_number"":0}"
11,1,10,2026-01-13T02:01:34,state,heath_changed,"{""old_health_value"":100,""option_number"":0,""who"":""player""}"
11,1,10,2026-01-13T02:01:34,state,heath_changed,"{""old_health_value"":30,""option_number"":0,""who"":""enemy""}"
11,1,10,2026-01-13T02:01:35,event,option_displayed,"{""dialog_id"":1}"
11,1,10,2026-01-13T02:01:35,action,option_selected,"{""dialog_id"":1,""narrative_alignment_tag"":""good"",""option_number"":0}"
11,1,10,2026-01-13T02:01:35,state,heath_changed,"{""old_health_value"":82,""option_number"":0,""who"":""player""}"
11,1,10,2026-01-13T02:01:35,state,heath_changed,"{""old_health_value"":18,""option_number"":0,""who"":""enemy""}"
11,1,10,2026-01-13T02:01:37,event,option_displayed,"{""dialog_id"":2}"
11,1,10,2026-01-13T02:01:37,action,option_selected,"{""dialog_id"":2,""narrative_alignment_tag"":""good"",""option_number"":0}"
11,1,10,2026-01-13T02:01:37,state,heath_changed,"{""old_health_value"":62,""option_number"":0,""who"":""player""}"
11,1,10,2026-01-13T02:01:37,state,heath_changed,"{""old_health_value"":3,""option_number"":0,""who"":""enemy""}"
