test,whereX,whereY,datetime,type,typeof,payload
7,2,9,2026-01-14T22:49:44,event,option_displayed,"{""dialog_id"":0}"
7,2,9,2026-01-14T22:49:49,action,option_selected,"{""dialog_id"":0,""narrative_alignment_tag"":""bad"",""option_number"":1}"
7,2,9,2026-01-14T22:49:49,state,heath_changed,"{""old_health_value"":100,""option_number"":1,""who"":""player""}"
7,2,9,2026-01-14T22:49:50,event,option_displayed,"{""dialog_id"":1}"
7,2,9,2026-01-14T22:49:51,action,option_selected,"{""dialog_id"":1,""narrative_alignment_tag"":""good"",""option_number"":1}"
7,2,9,2026-01-14T22:49:51,state,heath_changed,"{""old_health_value"":72,""option_number"":1,""who"":""player""}"
7,2,9,2026-01-14T22:49:51,state,heath_changed,"{""old_health_value"":30,""option_number"":1,""who"":""enemy""}"
7,2,9,2026-01-14T22:49:53,event,option_displayed,"{""dialog_id"":2}"
7,2,9,2026-01-14T22:49:54,action,option_selected,"{""dialog_id"":2,""narrative_alignment_tag"":""bad"",""option_number"":1}"
7,2,9,2026-01-14T22:49:54,state,heath_changed,"{""old_health_value"":47,""option_number"":1,""who"":""player""}"
7,2,9,2026-01-14T22:49:55,event,option_displayed,"{""dialog_id"":3}"
7,2,9,2026-01-14T22:49:55,action,option_selected,"{""dialog_id"":3,""narrative_alignment_tag"":""bad"",""option_number"":1}"
7,2,9,2026-01-14T22:49:55,state,heath_changed,"{""old_health_value"":17,""option_number"":1,""who"":""player""}"
